lex_1,lemma,dice
в,три,9.204808018394392
в,должен,9.202780515495212
в,состояние,9.192099310773266
в,там,9.18754090333453
в,качество,9.183991582425481
в,часть,9.182887238705195
в,театр,9.170352593445568
в,после,9.162018516322007
в,момент,9.16118021124927
в,ли,9.15438421801343
в,да,9.152858107479858
в,век,9.149843818438454
в,потом,9.146197985436942
в,можно,9.138706438032113
в,порядок,9.134431950741952
в,дверь,9.105554615499415
в,со,9.09871669268078
в,под,9.088596038829651
в,книга,9.083073495624612
в,вот,9.08244146521714
в,лес,9.073749653108878
в,работать,9.070101407424701
в,очень,9.064806850487265
в,много,9.06290657398786
в,кто,9.062364341666662
в,ничто,9.061229829968129
в,попасть,9.055725721887587
в,деревня,9.044319425832882
в,церковь,9.039954639881168
в,общество,9.0397920302358
в,очередь,9.03631159983803
в,настоящий,9.035823880598574
в,теперь,9.034705713647607
в,положение,9.034230114058786
в,земля,9.025075196476964
в,более,9.021116051466082
в,полный,9.0173123925868
в,результат,9.013445545383583
в,утро,9.008816345351129
в,оно,8.992559467834898
в,связь,8.989553630712233
в,входить,8.986847851195703
в,во,8.97846599901531
в,остаться,8.97731629639269
в,история,8.970698238650163
в,форма,8.963994284696149
в,месяц,8.96091678069776
в,окно,8.955774411317108
в,условие,8.94961153525776
в,письмо,8.945669560828357
в,квартира,8.939607690570218
в,здесь,8.926905888026205
в,найти,8.921563208628365
в,участие,8.92136777952636
в,разный,8.91195696672235
в,тогда,8.908154082809048
в,некоторый,8.90393708568212
в,зал,8.903839052809088
в,играть,8.89381335442334
в,лежать,8.888696887499565
в,война,8.87899802808477
в,приехать,8.875754722208518
в,угол,8.872569578790872
в,ходить,8.866791849019332
в,знать,8.865301930503405
в,взять,8.861085138367946
в,чем,8.850286794917928
в,смотреть,8.846927162063846
в,кабинет,8.844334278203515
в,что-то,8.843650353371277
в,район,8.837932063596112
в,свет,8.826928959626844
в,оказаться,8.812082291680024
в,вопрос,8.800186241356418
в,роль,8.799690426246862
в,без,8.799405486785204
в,ехать,8.79899555475107
в,париж,8.793959730993654
в,сад,8.791001919570002
в,именно,8.78861003368485
в,хотя,8.7865261175517
в,народ,8.783068669093701
в,воздух,8.77685885359037
в,ряд,8.77579988403534
в,белый,8.773412062403004
в,газета,8.770122993510068
в,сердце,8.766434057648102
в,лишь,8.766383673084835
в,путь,8.762964653058962
в,вернуться,8.762765506928924
в,получить,8.762199031207349
в,потому,8.760743987523814
в,всегда,8.759612575795249
в,выйти,8.75741401299792
в,мера,8.757039890858444
в,тоже,8.744929889052257
в,друг,8.74346403019329
в,принять,8.743359357526046
в,сейчас,8.742398951976362
в,ваш,8.742051670653307
в,статья,8.740518577754724
в,писать,8.71392084343792
в,море,8.707492182517178
в,состоять,8.707377824038737
в,черный,8.701022692829643
в,центр,8.698724957647809
в,ребенок,8.69547097703899
в,частность,8.693857077378274
в,почти,8.687795042929135
в,советский,8.686215602080006
в,процесс,8.678329801560276
в,образ,8.676890698616559
в,хотеть,8.671631523560755
в,армия,8.670417774999024
в,бывать,8.66934808066188
в,поехать,8.65879482482128
в,мысль,8.655236654991914
в,прошлый,8.655162730788167
в,между,8.64477978756501
в,дорога,8.64447198868892
в,любой,8.642439632969083
в,сделать,8.635175392119654
в,ответ,8.633577029908942
в,семья,8.63333402814817
в,нога,8.630631291830204
в,система,8.626179643350905
в,маленький,8.62560262110794
в,состав,8.622388560549473
в,участвовать,8.619993722978002
в,через,8.61676882689536
в,старый,8.609496808201023
в,данный,8.609313134399033
в,класс,8.609171161784047
в,женщина,8.607454393960914
в,степень,8.604261667467451
в,сей,8.596484830671518
в,приходить,8.590017682586016
в,следующий,8.587550146911775
в,надо,8.587460854358017
в,также,8.586917800354778
в,период,8.582445904822666
в,сегодня,8.581259370574923
в,происходить,8.579524172252853
в,пора,8.576519896305491
в,главный,8.575139398157852
в,2,8.572620368980106
в,делать,8.569596380410935
в,особенно,8.569536323735981
в,дать,8.567269599753484
в,военный,8.55615375371587
в,институт,8.549426256405788
в,держать,8.547733803070935
в,перед,8.54300054593637
в,появиться,8.541142498425152
в,привести,8.537447656139427
в,казаться,8.537383731751259
в,увидеть,8.536127927632283
в,европа,8.52994304267857
в,особенность,8.52716477111437
в,оставаться,8.527075456342242
в,уйти,8.525215418695652
в,направление,8.524049990671555
в,карман,8.523551743006314
в,отец,8.523088764907856
в,отправиться,8.518908994741079
в,голос,8.515548285257047
в,великий,8.503469355940402
в,прямо,8.503289176325543
в,действие,8.503158956146503
в,память,8.503092932426235
в,например,8.501481165261936
в,опять,8.49313709096776
в,1,8.49308750414857
в,целое,8.492193895151475
в,заключаться,8.483650291861114
в,дух,8.481798594841509
в,третий,8.48106827226165
в,ход,8.480986080597077
в,тут,8.479972257165556
в,рубль,8.479928963069721
в,верить,8.477509490018807
в,гора,8.47499066922149
в,неделя,8.473131622046385
в,тысяча,8.465348214164885
в,суд,8.46474475299516
в,молодой,8.463352692641589
в,развитие,8.45391071918976
в,пройти,8.453824785695247
в,гость,8.443448738519745
в,поле,8.442973387092744
в,наука,8.442205928246505
в,лучший,8.4417220020674
в,тюрьма,8.440012246098663
в,начать,8.432800600402508
в,машина,8.431577831937261
в,движение,8.428729532811646
в,известный,8.424049238337822
в,магазин,8.412146448027626
в,группа,8.409246386860652
в,хороший,8.403203416523404
в,разговор,8.402184336151816
в,об,8.400494348228326
в,иной,8.399374110231326
в,высокий,8.398994237213836
в,вера,8.395609774377004
в,московский,8.394285610057562
в,российский,8.390538878061559
в,написать,8.390139383768098
в,оставить,8.387507247575702
в,польза,8.387096396844555
в,часто,8.38556607633043
в,бог,8.381551954177656
в,никто,8.378093338557726
в,государственный,8.376455051683227
в,однако,8.371801614681303
в,род,8.366361835643858
в,красный,8.365985458389456
в,снова,8.365705746892758
в,государство,8.364796804739067
в,сущность,8.362648689624592
в,среда,8.360091336722633
в,борьба,8.359905929988415
в,пять,8.357041906887066
в,провести,8.35482909367408
в,второй,8.353585561236304
в,глубина,8.351563490368251
в,принимать,8.350808199591823
в,3,8.3485907637628
в,коридор,8.346368242192852
в,село,8.342401518452673
в,искусство,8.340772850331067
в,больница,8.340631201337947
в,журнал,8.33708892868489
в,уехать,8.334347379063033
в,поставить,8.330972071927222
в,конечно,8.33086365791348
в,будущее,8.329385642273168
в,затем,8.32915935133294
в,оба,8.327597712189373
в,ведь,8.327359246826344
в,власть,8.32685987574007
в,вступить,8.32121613743486
в,превратиться,8.319982810179859
в,вдруг,8.319625729548887
в,10,8.318778927632707
в,небо,8.313203431178346
в,существовать,8.308002139091721
в,литература,8.299162008631974
в,музей,8.29829175663165
в,язык,8.298226187839884
в,река,8.294110086201616
в,четыре,8.292720450224365
в,пока,8.292225417184625
в,монастырь,8.28914946769113
в,будто,8.28796918317829
в,бой,8.277747764204753
в,сознание,8.277486949383594
в,ситуация,8.275061825879066
в,америка,8.274056723035844
в,круг,8.273870561446882
в,являться,8.272267121189476
в,цель,8.271928067752665
в,деньги,8.27178451138829
в,никакой,8.27152430401932
в,живой,8.270709877269992
в,всякий,8.268385243345662
в,вести,8.261707988664657
в,количество,8.254812510117517
в,совет,8.254625071437882
в,собственный,8.254470163591222
в,правда,8.253151140734435
в,огромный,8.2512655284551
в,стена,8.247258284789993
в,германия,8.244813605769322
в,университет,8.243603343552127
в,думать,8.240511310944935
в,право,8.239780209427714
в,соответствие,8.238648837784893
в,партия,8.226156486215183
в,темный,8.225075765376808
в,основной,8.221951727759219
в,любовь,8.219854723390512
в,рабочий,8.219490384225704
в,вместе,8.21768924312664
в,4,8.216361587805274
в,темнота,8.215239386518505
в,улица,8.214563421913024
в,речь,8.205219363349075
в,игра,8.202110757028652
в,над,8.197238743052456
в,служить,8.195803301466736
в,наконец,8.195581231928198
в,глядеть,8.194856714412337
в,давать,8.191001029539391
в,сфера,8.18962780716351
в,служба,8.189337511770827
в,закон,8.18816891781519
в,лагерь,8.179894198055965
в,кресло,8.171887280211699
в,твой,8.171570569440505
в,целый,8.170397576979031
в,вообще,8.167681029317984
в,компания,8.16527590563297
в,5,8.161382805754304
в,просто,8.159909925527362
в,деятельность,8.156892562707275
в,отличие,8.154634336115684
в,совсем,8.151931984693507
в,небольшой,8.151485629480312
в,жена,8.150418622977053
в,номер,8.15027465363282
в,читать,8.149017602038537
в,план,8.148835773534607
в,совершенно,8.146959167913352
в,рамка,8.145349833811505
в,тело,8.141937683365523
в,полк,8.141642042639749
в,союз,8.12712711860003
в,высший,8.124863469845794
в,ближайший,8.119764430253817
в,ссср,8.118890305472235
в,сразу,8.114934885666004
в,присутствие,8.111430658175554
в,вагон,8.110684802040964
в,природа,8.108452166876013
в,возможность,8.104375858928513
в,пространство,8.102590318495231
в,храм,8.101033036748149
в,сесть,8.095467934072289
в,подобный,8.093945171787192
в,мать,8.09317949189867
в,прибыть,8.092530627669232
в,ездить,8.088946099097537
в,проводить,8.08810182311287
в,большинство,8.086565920836307
в,организация,8.085446962726598
в,произойти,8.08536971867051
в,никогда,8.084894268950464
в,отправить,8.0844547810281
в,чувство,8.083493901773775
в,край,8.083475343061085
в,перейти,8.082269642829191
в,мало,8.07960801510269
в,решить,8.076323704728765
в,имя,8.07517778768278
в,политический,8.075131345798834
в,современный,8.074035101555335
в,сша,8.073026384389854
в,уходить,8.072945761941714
в,шаг,8.072605011505924
в,вещь,8.06957552926388
в,кровь,8.069151721885628
в,толпа,8.067072905842858
в,столица,8.060494952391156
в,стол,8.05882190340147
в,труд,8.0549360467561
в,половина,8.053887741836128
в,около,8.05060111421025
в,детство,8.050057820583465
в,лето,8.045054070689437
в,гостиница,8.044010410113014
в,десять,8.043199512763028
в,куда,8.04200539411463
в,верста,8.040695244255348
в,середина,8.040024658987752
в,князь,8.03320010691344
в,смерть,8.030800758947194
в,предел,8.027016625423645
в,грудь,8.02006816266778
в,событие,8.01854939616569
в,иногда,8.015933982527596
в,эпоха,8.014330940117258
в,огонь,8.014226678232307
в,сын,8.010351353058919
в,май,8.009380866987957
в,правительство,8.006716239069668
в,нуждаться,8.006625829346962
в,положить,8.005894583795586
в,использовать,8.005771469346891
в,прошлое,8.004630932366364
в,англия,7.997588947142715
в,больше,7.997240401195362
в,кроме,7.996588154440016
в,хорошо,7.994259237105816
в,а.,7.994107049536391
в,иметься,7.992800051262567
в,широкий,7.992288860638575
в,возраст,7.992010312614321
в,двор,7.990751178850126
в,6,7.990614197608828
в,дальнейший,7.989362153647451
в,человеческий,7.98872704665048
в,превращаться,7.9860058535622285
в,различный,7.985489630295449
в,прийтись,7.985002087840468
в,основа,7.98493953757676
в,приводить,7.979885347191375
в,управление,7.979468365398633
в,глубокий,7.9767038818607805
в,особый,7.975568566355284
в,столовая,7.975325576396634
в,роман,7.97497512643246
в,август,7.971866496946015
в,платье,7.970184276199847
в,зайти,7.970155587127201
в,действовать,7.96600819379463
в,собираться,7.965932212862409
в,картина,7.962084929534313
в,многий,7.961879629555779
в,бросить,7.961396349611798
в,явиться,7.960372559584227
в,искать,7.957577839608693
в,какой-нибудь,7.957275327590565
в,принцип,7.955249339150609
в,отдельный,7.954800830786362
в,культура,7.950067479199934
в,честь,7.949712902034867
в,находить,7.945383949868453
в,клуб,7.943197070695098
в,киев,7.941340540494846
в,постель,7.940782478010751
в,зависимость,7.939455471706384
в,решение,7.938520411998659
в,ум,7.935799232147552
в,пол,7.931102931470128
в,назад,7.930547212130289
в,собрание,7.927249386641085
в,поступить,7.921034540406502
в,помещение,7.920669979457455
в,начаться,7.9203780935106884
в,вчера,7.919580572067965
в,точно,7.916276954367993
в,учиться,7.916265039547856
в,нельзя,7.91616195001988
в,производство,7.915123349443744
в,ибо,7.914737720437293
в,умереть,7.914400380640208
в,представить,7.9141528449160985
в,против,7.9125284438418
в,чужой,7.911630785321391
в,редакция,7.910383023499348
в,ухо,7.909286710340449
в,больший,7.906921277767021
в,изба,7.905054846214256
в,ввести,7.903771519424259
в,значение,7.901871568007486
в,общественный,7.899894249768866
в,понимать,7.898927545271079
в,7,7.898901747178802
в,поездка,7.898771143587401
в,проходить,7.898505180172642
в,чтоб,7.897354202634824
в,изменение,7.895530630999748
в,родиться,7.894845305999301
в,счет,7.893766454702836
в,долго,7.891219802296359
в,сильный,7.888717393827588
в,поезд,7.88808434305153
в,помощь,7.887354737930454
в,народный,7.88714827106192
в,выходить,7.885986288085678
в,метр,7.8855689865530065
в,тяжелый,7.884658852130846
в,ресторан,7.883357575987517
в,ожидание,7.882862125789916
в,проблема,7.882734191593968
в,12,7.8825503941108215
в,средний,7.881262721996638
в,чувствовать,7.879598158126507
в,основное,7.877320434218876
в,впервые,7.875684477869272
в,ленинград,7.873661360745631
в,единственный,7.872273429400031
в,идея,7.870952330181821
в,интерес,7.870845290373927
в,размер,7.870689050484579
в,сибирь,7.870457318701215
в,поэтому,7.869882637754848
в,срок,7.868024447897669
в,послать,7.8678101047122
в,губерния,7.865967692172832
в,%,7.863141875283613
в,войска,7.8629527164673805
в,революция,7.861927461339253
в,хоть,7.860378806985784
в,прежде,7.853423078207131
в,сентябрь,7.853172090595616
в,программа,7.852894160377458
в,следовать,7.851736768743314
в,октябрь,7.850536419610197
в,называть,7.84786788121367
в,8,7.847541560167337
в,декабрь,7.844550922622194
в,вступать,7.84235910215138
в,малый,7.841398108558636
в,март,7.84139387093934
в,важный,7.8413748280587106
в,прежний,7.840234478277115
в,посмотреть,7.838389253754924
в,нужно,7.837733059600385
в,километр,7.837186997466083
в,спать,7.836821767626916
в,сколько,7.832609917809304
в,фильм,7.8314895152257336
в,успех,7.831123394244556
в,миллион,7.830285933567805
в,длинный,7.828716570491366
в,соседний,7.828205928629304
в,открыть,7.827078590566885
в,продолжать,7.8265428607960255
в,значительный,7.8263854422211905
в,здание,7.82626248788737
в,итог,7.826195761948846
в,ну,7.8241494450255
в,точка,7.824016203838324
в,давно,7.823669233504793
в,переходить,7.823134602444826
в,далеко,7.820377235444606
в,гостиная,7.818307135043347
в,заметить,7.817870357278216
в,спросить,7.817131527944928
в,действительность,7.817112767419889
в,академия,7.814888803454533
в,словно,7.812356955176502
в,кино,7.81124471340389
в,быстро,7.810906191402073
в,считать,7.808889634329508
в,узнать,7.807174150992459
в,мировой,7.807133992877005
в,заглянуть,7.8067918722355305
в,возвращаться,7.8058746258246545
в,лондон,7.805699684926476
в,начинать,7.805207638433963
в,заключение,7.803843082841091
в,апрель,7.799803712773651
в,январь,7.798850424341876
в,политика,7.798499894471898
в,остановиться,7.79786910745987
в,дворец,7.796602467208734
в,масса,7.795363851679183
в,июнь,7.795331201008087
в,прекрасный,7.791769969283128
в,брать,7.79166039804963
в,библиотека,7.791175990229927
в,обстановка,7.791067205790122
в,плен,7.790468674737094
в,воскресенье,7.790371259990432
в,дума,7.788764453408471
в,рот,7.7877503646757935
в,двадцать,7.787413560181897
в,костюм,7.787068026516999
в,действительно,7.786964628624806
в,палата,7.786310793286503
в,шесть,7.786098059021417
в,где-то,7.785063282405698
в,солдат,7.78322029091499
в,городской,7.7831479435030015
в,правый,7.782469806550058
в,понять,7.782199704766559
в,снег,7.781642311879682
в,отсутствие,7.781508601625714
в,святой,7.780692674947172
в,любить,7.779349849769961
в,ко,7.777334095861042
в,скоро,7.776629104344252
в,девушка,7.776627277920386
в,средство,7.7744239588970725
в,ставить,7.771972424309107
в,надежда,7.770258066322157
в,довольно,7.7674772978656925
в,попадать,7.764906855267069
в,значить,7.763462633190583
в,вход,7.7626277657055285
в,исторический,7.762477039002634
в,создать,7.761628806248019
в,исследование,7.761500317057206
в,нужный,7.761398376176444
в,одеть,7.7599989587559834
в,уж,7.757524308238868
в,палец,7.756866259266774
в,пребывание,7.756860378854709
в,зима,7.754763854284475
в,берег,7.754578907548117
в,опыт,7.754113508190739
в,нижний,7.750524386722321
в,отделение,7.747850657759749
в,страшный,7.747677498845832
в,брат,7.747035149367654
в,тень,7.745380029243656
в,кухня,7.744849033838364
в,детский,7.743114293894398
в,нынешний,7.741932850925897
в,состояться,7.741295406468402
в,чистый,7.741190628756083
в,открытый,7.74065976750911
в,банк,7.739737704823252
в,почему,7.738210929299082
в,корпус,7.737968344167998
в,показать,7.737467611084975
в,офицер,7.73700893227646
в,июль,7.73595802821527
в,кто-то,7.735676072097568
в,собор,7.734039319330331
в,крайний,7.732923245639819
в,северный,7.731264025168219
в,хозяйство,7.726210797357753
в,чуть,7.726034062411439
в,крупный,7.725572573629726
в,20,7.725394635433181
в,господин,7.7239570873785475
в,камера,7.723934349401802
в,обычный,7.723497282871014
в,9,7.722983380158528
в,пример,7.722228326693961
в,в.,7.7213575115902096
в,рассказ,7.720779666258158
в,распоряжение,7.719835322676451
в,февраль,7.719354972877027
в,встретить,7.71622944437104
в,муж,7.7108132025814164
в,определенный,7.707830288121826
в,свободный,7.705843009742065
в,среди,7.703488617574883
в,училище,7.703229066010608
в,просить,7.701993846728098
в,"""",7.701379307053209
в,поиск,7.70055279796725
в,проект,7.699072916688335
в,простой,7.6969631655842585
в,ноябрь,7.694192882172354
в,западный,7.691357844291872
в,зеркало,7.690655864021289
в,член,7.68663649308249
в,солнце,7.685215651705938
в,бумага,7.683448904273182
в,местный,7.683222523899748
в,остальной,7.682462458724242
в,весьма,7.6817995825566
в,установить,7.681661187306709
в,броситься,7.678942953729148
в,холодный,7.678811585044836
в,заседание,7.678660735004511
в,парк,7.678295320253833
в,берлин,7.67633389761349
в,внести,7.6760489158019105
в,уверенный,7.67547286517235
в,отдел,7.674934105470964
в,задача,7.674699384412734
в,помнить,7.674090228847403
в,научный,7.669679444824419
в,текст,7.668490503969855
в,указать,7.66780143752514
в,причина,7.663509409587364
в,мужчина,7.661673824999863
в,короткий,7.660003105408713
в,генерал,7.6591669047765745
в,италия,7.659042468857689
в,глава,7.657849931135603
в,суббота,7.656314996254243
в,завод,7.656093155925733
в,приезжать,7.6557482009467055
в,автор,7.654401211341833
в,ждать,7.654011531931649
в,праздник,7.650583295777011
в,китай,7.649069108810733
в,регион,7.645477088042448
в,спектакль,7.645164452120677
в,однажды,7.644928246106182
в,судьба,7.64279052562013
в,царский,7.6420629891921354
в,товарищ,7.639512272921679
в,взгляд,7.637184029157545
в,ужас,7.636167499232457
в,тишина,7.635732191395073
в,орган,7.634806086813488
в,завтра,7.631136185680152
в,курс,7.62688064712259
в,собраться,7.622978834796609
в,личный,7.62228518123032
в,клетка,7.619445595109561
в,бежать,7.615647022330707
в,писатель,7.613683992928435
в,штаб,7.612108538587588
в,образование,7.61026982386784
в,материал,7.608036665711589
в,11,7.607441880230948
в,вызвать,7.607072571771786
в,одежда,7.606922777436542
в,как-то,7.606686474184731
в,комиссия,7.606550572159602
в,купить,7.604981509111821
в,немецкий,7.604408853320937
в,выступать,7.604304815636707
в,камень,7.604077862323979
в,карта,7.601531043359575
в,становиться,7.598445671394448
в,появляться,7.598289989687333
в,зона,7.596780139544746
в,назначить,7.5951183123810075
в,превратить,7.592375908550784
в,список,7.591718039620441
в,ящик,7.5906504647286965
в,государь,7.5895874796951315
в,беседа,7.587418298327579
в,рост,7.587240830098493
в,старик,7.586972100066234
в,печать,7.586348419953897
в,восторг,7.585189145494236
в,сутки,7.584029772835763
в,пустой,7.583043903896406
в,сцена,7.580405080825271
в,перевод,7.579085320647154
в,комитет,7.578649855819448
в,выражение,7.578167081827922
в,духовный,7.57376000876529
в,получать,7.570499650401389
в,произведение,7.569798156419691
в,15,7.567757061365808
в,произвести,7.565865173182262
в,обратно,7.563408082453546
в,поход,7.56307499779217
в,обед,7.561934474365936
в,характер,7.561182602584985
в,центральный,7.560358642835658
в,теплый,7.55973624057489
в,серый,7.559161109679424
в,30,7.5577771440892
в,частный,7.555429508953414
в,цвет,7.55442868284326
в,необходимость,7.553254002431031
в,английский,7.552784537600712
в,нос,7.552760421146234
в,занять,7.552583652608767
в,степь,7.551420436753016
в,социальный,7.550798820482294
в,встречаться,7.550309932093967
в,настроение,7.549354413982186
в,устроить,7.549270678769367
в,приезд,7.548194357607797
в,побывать,7.546509678745048
в,александр,7.546024765539877
в,бывший,7.544652994019101
в,с.,7.5441717743729555
в,обратиться,7.543992307488293
в,исполнение,7.543493224311896
в,пункт,7.543481468949989
в,сон,7.543326371565969
в,царь,7.543078015748881
в,явление,7.541380734508372
в,литературный,7.54093177408071
в,менее,7.538496627302776
в,древний,7.5368886506255155
в,секунда,7.536376523187399
в,отдать,7.535292121789902
в,синий,7.526248597932453
в,представлять,7.525984666866777
в,стараться,7.525575729964285
в,левый,7.5254246925160775
в,документ,7.525202942404308
в,всего,7.524174076223789
в,министерство,7.523228035426833
в,спальня,7.52110380751512
в,рассказывать,7.5208965480997865
в,лошадь,7.520741266575106
в,присутствовать,7.520327072994246
в,готовый,7.517101790241879
в,оказываться,7.515401035981549
в,либо,7.513987128953667
в,плечо,7.513905948050432
в,мальчик,7.513626212000799
в,гражданский,7.512222307876653
в,спина,7.512095017799287
в,япония,7.510984858151167
в,покой,7.51057956850747
в,дерево,7.5091291680632
в,долина,7.508798511417165
в,продолжение,7.507931699632151
в,золотой,7.50757153534167
в,причем,7.507307180873141
в,встреча,7.505961585101045
в,содержание,7.5052955363584255
в,семь,7.503966340416038
в,больной,7.503510287677367
в,мастерская,7.500758705249967
в,недавно,7.4994033743983035
в,заниматься,7.497733637542186
в,слышать,7.497486473363488
в,успеть,7.497078773899354
в,напечатать,7.49534512899962
в,внутренний,7.495227644022406
в,ученый,7.494462847421762
в,переулок,7.494230123005004
в,контора,7.493484955446466
в,производить,7.493460137603575
в,население,7.493412280031379
в,рим,7.4927725862599
в,представление,7.4912932248387385
в,построить,7.491070326565404
в,возникнуть,7.489704897516083
в,приходиться,7.486354752043311
в,случиться,7.486219716831295
в,все-таки,7.486130253619578
в,гимназия,7.484179413679891
в,атмосфера,7.483661348326474
в,собрать,7.481066715260978
в,сначала,7.47908482110126
в,предмет,7.477947457888203
в,единый,7.476769142417309
в,легко,7.475550017292011
в,американский,7.474794457289738
в,н.,7.474041694276572
в,зеленый,7.473708224389841
в,обстоятельство,7.471451942958995
в,принести,7.471271608497922
в,далекий,7.469631941345796
в,правило,7.469118950388074
в,рядом,7.467717194617784
в,узкий,7.467173205058908
в,крепость,7.467014297619831
в,предложить,7.46606112109466
в,экономический,7.464973963258339
в,прием,7.4634902594970365
в,дальний,7.463290449438085
в,встать,7.463154506574825
в,учреждение,7.462943246062729
в,пустыня,7.462004974972023
в,иван,7.46119189196728
в,национальный,7.460617832388148
в,добрый,7.460359240099703
в,оттуда,7.459175499279803
в,отряд,7.45777528623668
в,книжка,7.457478690445392
в,возможный,7.456899129475704
в,отчаяние,7.455702879337949
в,южный,7.455634787398315
в,глубоко,7.455000144888842
в,упасть,7.454370599287082
в,международный,7.4532732496821135
в,песня,7.452831660751914
в,черта,7.4525291356299554
в,занимать,7.4511189596477365
в,предприятие,7.450641343359974
в,мозг,7.450171832866357
в,баня,7.449924446846258
в,подвал,7.449765507223889
в,бить,7.449158842702769
в,создание,7.449153394606265
в,одесса,7.44815399695587
в,возвратиться,7.447077169061421
в,французский,7.447049063973691
в,лаборатория,7.4454960591743555
в,цена,7.44430146348807
в,обнаружить,7.444104039888257
в,ветер,7.444047940814933
в,республика,7.442485712099262
в,кремль,7.440518751018566
в,едва,7.4395787939643
в,необходимый,7.439422446135062
в,пьеса,7.437290660193975
в,корабль,7.436432043896519
в,пытаться,7.4364114220623785
в,заходить,7.435424013197939
в,победа,7.4346909124894625
в,стиль,7.43342764755215
в,будущий,7.432766159985711
в,мама,7.431974351431268
в,объем,7.430791608553415
в,убедиться,7.430275695074686
в,тон,7.429006852725047
в,художественный,7.428332049948494
в,министр,7.428301211053733
в,самолет,7.427470406854132
в,передать,7.4274267829878315
в,организм,7.42699279318408
в,родной,7.4266504739886114
в,сильно,7.424850447762116
в,страх,7.422185957983962
в,поступать,7.420924812718307
в,постоянно,7.4175817244660305
в,отставка,7.417295975023719
в,европейский,7.415010154562205
в,впадать,7.414162565623248
в,морской,7.413362527475238
в,верхний,7.412615907493852
в,ночной,7.411361317280532
в,озеро,7.41038723217624
в,прямой,7.410141639290845
в,тихий,7.4081083316925564
в,впрочем,7.40755693046648
в,равный,7.407419517023745
в,ворота,7.4054463923033484
в,четвертый,7.405085046560278
в,боевой,7.404763726515319
в,№,7.403297937925681
в,наблюдать,7.402936986405555
в,свобода,7.40292262729601
в,женский,7.401601214064546
в,музыка,7.398518055488979
в,погибнуть,7.396658829265553
в,грязь,7.396435045441778
в,знакомый,7.3948296812400205
в,из-за,7.394689478386483
в,отпуск,7.39450755302073
